ID,Track,Type,Description,Owner,Date Logged,Due for Closure on,Status,Impact,Mitigation
INT-3,Integration - SAP,Action Item,Run technical approach decision workshop with SAP Basis  middleware (MuleSoft/BTP) team and PLM team. Document agreed approach and get written acceptance from SAP team lead.,Tech Arch,15-Aug-26,20-Aug-26,Open,,
INT-4,Integration - NX,Action Item,Inventory all version compatibility gaps between PLM platform and NX CAD versions in use. Engage NX vendor for official compatibility matrix. Identify if hotpatch request can be fast-tracked.,NX Lead,15-Aug-26,19-Aug-26,Open,,
INT-5,Integration - NX,Action Item,Escalate to NX vendor account manager for private hotpatch access or pre-release build to unblock integration layer. Document escalation in writing.,Impl. PM,15-Aug-26,18-Aug-26,Open,,
INT-6,Integration - Cadence,Action Item,Engage Cadence vendor connector team for integration specification and confirm connector version available for target PLM version. Get written confirmation or documented gap.,Cadence Lead,15-Aug-26,20-Aug-26,Open,,
INT-7,Integration - All,Action Item,Publish integration dependency & blocker register to steering committee with RAG status per integration point. (Template: Blocker | Root Cause | Owner | Resolution Date | Workaround).,Impl. PM,15-Aug-26,22-Aug-26,Open,,
INT-8,Integration - Joint,Action Item,Conduct Integration risk review session: classify each blocker as Resolvable (with date) vs Irresolvable. Document workaround for each irresolvable item.,Sol. Arch,15-Aug-26,25-Aug-26,Open,,
INT-9,Integration - Joint,Action Item,For irresolvable risks: prepare workaround proposals (e.g.  file-based interim exchange  manual sync processes  phased go-live without integration  middleware fallback patterns).,Tech Arch,15-Aug-26,26-Aug-26,Open,,
INT-10,Integration - Joint,Action Item,Present full risk register + workaround proposals to executive steering committee for approval. Obtain sign-off on workarounds or additional escalation path.,Impl. PM,15-Aug-26,27-Aug-26,Open,,
INT-11,Integration - Joint,Action Item,Revise integration delivery schedule based on approved workarounds. Confirm revised integration milestones and impact on Phase 3 adoption timeline.,Impl. PM,15-Aug-26,29-Aug-26,Open,,
DM-1,Data Migration,Action Item,Generate synthetic PLM data set using open-source data fabrication tools (e.g.  Faker  Mimesis  custom scripts) modelled on the agreed target data schema. Cover part masters  BOM structures  ECNs  attributes.,DM Lead,15-Aug-26,18-Aug-26,Open,,
DM-2,Data Migration,Action Item,Request anonymised production data extracts from customer. Use data masking / PII scrubbing tools on customer side to provide structurally real but privacy-safe records for migration testing.,Cust. DBA,15-Aug-26,20-Aug-26,Open,,
DM-3,Data Migration,Action Item,Use existing 90% completed mapping to create a mock legacy extract in the source system format. Populate with synthetic values to simulate full volume migration for FTL testing.,DM Lead,15-Aug-26,19-Aug-26,Open,,
DM-4,Data Migration,Action Item,Define acceptance criteria for synthetic data quality. Once real sample extract is available  run delta comparison to validate synthetic data adequacy and calibrate ETL scripts.,QA Lead,15-Aug-26,22-Aug-26,Open,,
DM-5,Data Migration,Action Item,Close remaining 10% mapping gap using customer business analyst (BA deployed from stable Part & BOM track) + available documentation.,BA / DM Lead,15-Aug-26,20-Aug-26,Open,,
DM-6,Data Migration,Action Item,Evaluate and procure a purpose-built PLM data migration tool (e.g.  XPDL  Migrate4PLM  or platform-native migration utilities). Conduct rapid PoC within 3 days.,DM Lead,15-Aug-26,18-Aug-26,Open,,
DM-7,Data Migration,Action Item,If commercial tool procurement is blocked  deploy open-source ETL framework (Apache NiFi or Talend Open Studio) configured for PLM source/target schema.,Tech Arch,15-Aug-26,19-Aug-26,Open,,
DM-8,Data Migration,Action Item,Implement automated migration reconciliation checks: record count validation  attribute completeness  BOM structure integrity  and delta report after each test run.,QA Lead,15-Aug-26,22-Aug-26,Open,,
DM-9,Data Migration,Action Item,Immediate: Engage staffing partner / bench resources to deploy 2 PL/SQL-capable developers by 20-Aug. Require automotive PLM data migration experience.,Delivery VP,15-Aug-26,20-Aug-26,Open,,
DM-10,Data Migration,Action Item,Onboarding sprint (Days 1–3): New developers to review existing ETL scripts  mapping docs  and test outputs. Pair with remaining DM team member for knowledge transfer.,DM Lead,15-Aug-26,22-Aug-26,Open,,
DM-11,Data Migration,Action Item,Upskill delivery team on platform-native migration APIs in parallel—reduce pure PL/SQL dependency by adopting platform SDK-based migration approach where available.,Tech Arch,15-Aug-26,22-Aug-26,Open,,
DM-12,Data Migration,Action Item,Deploy cloud-based developer on-demand resource (AWS/Azure marketplace) as a bridge while permanent hire is finalised. Cost to be approved by delivery VP.,Delivery VP,15-Aug-26,18-Aug-26,Open,,
DM-13,Data Migration,Action Item,Conduct team confidence-building session: walkthrough of synthetic data migration success  share test results  define clear individual ownership of each migration object type.,DM Lead,15-Aug-26,22-Aug-26,Open,,
DM-14,Data Migration,Action Item,Establish weekly DM-specific war-room: DM Lead + Tech Arch + QA Lead + customer DBA. Track % records migrated  defects per run  blocker status.,Impl. PM,15-Aug-26,19-Aug-26,Open,,
